#{"t_start": 1768746534.8382254, "env_id": "BipedalWalker-v3"}
r,l,t
295.101795,939,2147.826403
296.557199,931,2150.160867
297.338782,891,2152.500448
291.45273,977,2154.790606
292.585029,937,2157.2086
291.724771,982,2159.589791
292.603871,940,2162.118255
293.248116,965,2164.46436
300.07604,905,2166.861771
295.595711,921,2169.205978
293.278548,953,2171.591868
296.171209,916,2174.01493
298.319325,910,2176.289705
295.326095,940,2178.562005
296.048432,902,2180.937664
300.006719,890,2183.245013
298.664611,915,2185.43821
297.683862,935,2187.688637
298.830575,909,2189.99728
293.697894,947,2192.321496
298.835175,895,2194.736602
295.402286,922,2197.016773
294.487025,943,2199.365306
300.031009,893,2201.747256
296.553503,907,2204.033345
296.133012,905,2206.33638
296.369925,922,2208.636974
299.55329,899,2210.884017
298.413427,914,2213.083347
299.6018,914,2215.370693
294.746127,938,2217.6361
295.77779,901,2219.940993
292.006745,968,2222.195946
294.105498,955,2224.645723
297.57692,884,2226.995055
300.679567,857,2229.149678
298.895994,881,2231.251483
301.427138,883,2233.416213
295.48416,943,2235.684801
298.200673,908,2238.11515
296.618406,945,2240.423046
299.309082,853,2242.809891
296.648338,931,2245.036341
293.711943,922,2247.464257
298.468535,878,2249.833691
296.720087,931,2252.116533
300.133653,866,2254.497705
298.481164,908,2256.748822
295.329627,937,2259.037937
295.556458,925,2261.45195
298.112402,885,2263.765026
296.367726,900,2266.022836
300.994068,888,2268.284476
297.966903,893,2270.45779
298.782525,896,2272.653147
303.31364,863,2274.831315
67.6558,503,2276.858341
301.827581,868,2278.209207
296.061871,905,2280.345535
301.296159,849,2282.64394
292.159534,951,2284.860117
293.25437,945,2287.331372
296.985808,884,2289.729207
299.049883,858,2291.98315
295.399661,878,2294.18011
293.424563,904,2296.372781
299.276293,899,2298.693221
300.505325,864,2300.972595
297.239035,859,2303.086161
294.114242,926,2305.210607
300.315424,874,2307.456872
303.00791,809,2309.627884
300.389309,892,2311.690661
299.872878,870,2313.961359
295.93454,899,2316.203233
-2.981273,394,2318.30298
295.159642,883,2319.483398
291.170368,948,2321.79145
298.405188,884,2324.218145
300.802942,866,2326.491661
297.045249,920,2328.742829
293.650899,963,2331.128618
300.339934,873,2333.500459
304.317109,839,2335.632177
294.813125,913,2337.808134
297.872009,871,2340.099032
296.163898,916,2342.330674
291.70848,933,2344.595196
296.731436,892,2346.871037
292.160428,930,2349.095835
294.438024,873,2351.433015
293.564828,925,2353.692902
299.763365,842,2355.933789
295.431686,865,2358.027648
298.048881,893,2360.186526
301.834074,844,2362.351444
301.080015,857,2364.422311
296.946875,927,2366.550545
297.608325,883,2368.791334
296.556864,885,2371.003302
295.730237,938,2373.178804
303.7092,883,2375.467437
300.3387,873,2377.627582
295.071697,919,2379.776189
299.698076,959,2382.068347
297.707459,919,2384.41538
295.816103,935,2386.699837
116.470045,709,2388.906128
296.505871,905,2390.725259
296.110769,946,2393.030059
299.921148,847,2395.344146
304.021491,853,2397.420332
298.418888,929,2399.530076
301.127597,889,2401.822555
302.737142,880,2404.018632
300.539857,883,2406.182814
295.454551,939,2408.358291
300.584126,864,2410.653514
298.232981,885,2412.834791
298.879614,882,2414.998736
301.233738,872,2417.155846
293.658495,925,2419.295676
298.53798,884,2421.594137
294.487315,904,2423.784374
299.117218,904,2426.010001
301.605185,878,2428.224869
304.220181,847,2430.409611
301.86309,872,2432.570938
293.896539,995,2434.764919
298.985537,889,2437.301383
301.480511,864,2439.580766
298.86959,880,2441.809445
301.93848,852,2443.991456
302.617579,805,2446.084396
299.27013,870,2448.176339
297.529771,922,2450.404414
303.098721,836,2452.727944
292.949175,921,2454.911121
300.066333,869,2457.273545
298.278402,886,2459.512106
300.911758,881,2461.716515
300.992963,885,2463.916984
301.055243,906,2466.086936
303.962609,856,2468.292875
302.283205,874,2470.394784
304.266815,849,2472.51784
304.315232,811,2474.652627
301.987988,864,2476.659077
296.444603,885,2478.7812
305.585652,829,2480.941451
